,$,and,div,mult,or,minus,plus,greateq,lesseq,gt,lt,neq,eq,assgn,comma,colon,id,void,float,integer,intlit,closespr,openspr,dot,closepr,openpr,not,floatlit,closecpr,opencpr,semi,return,write,read,while,else,then,if,let,arrow,func,private,public,impl,inherits,struct
START,START ::= ^EP prog ^Prog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,START ::= ^EP prog ^Prog,,,START ::= ^EP prog ^Prog,,START ::= ^EP prog ^Prog
addOp,,,,,addOp ::= or ^Or,addOp ::= minus ^Minus,addOp ::= plus ^Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aParams,,,,,,aParams ::= expr ^Expr aParamsRep,aParams ::= expr ^Expr aParamsRep,,,,,,,,,,aParams ::= expr ^Expr aParamsRep,,,,aParams ::= expr ^Expr aParamsRep,,,,aParams ::= EPSILON,aParams ::= expr ^Expr aParamsRep,aParams ::= expr ^Expr aParamsRep,aParams ::= expr ^Expr aParamsRep,,,,,,,,,,,,,,,,,,
aParamsTail,,,,,,,,,,,,,,,aParamsTail ::= comma expr ^Expr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arithExpr,,,,,,arithExpr ::= term ^Term ^ArithExpr arithExprRep,arithExpr ::= term ^Term ^ArithExpr arithExprRep,,,,,,,,,,arithExpr ::= term ^Term ^ArithExpr arithExprRep,,,,arithExpr ::= term ^Term ^ArithExpr arithExprRep,,,,,arithExpr ::= term ^Term ^ArithExpr arithExprRep,arithExpr ::= term ^Term ^ArithExpr arithExprRep,arithExpr ::= term ^Term ^ArithExpr arithExprRep,,,,,,,,,,,,,,,,,,
arraySize,,,,,,,,,,,,,,,,,,,,,,,arraySize ::= openspr arraySizeOpt,,,,,,,,,,,,,,,,,,,,,,,
arraySizeOpt,,,,,,,,,,,,,,,,,,,,,arraySizeOpt ::= intlit ^IntLit closespr,arraySizeOpt ::= ^ArraySizeZero closespr,,,,,,,,,,,,,,,,,,,,,,,,
assignOp,,,,,,,,,,,,,,assignOp ::= assgn ^AssignOp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expr,,,,,,expr ::= arithExpr exprOpt,expr ::= arithExpr exprOpt,,,,,,,,,,expr ::= arithExpr exprOpt,,,,expr ::= arithExpr exprOpt,,,,,expr ::= arithExpr exprOpt,expr ::= arithExpr exprOpt,expr ::= arithExpr exprOpt,,,,,,,,,,,,,,,,,,
exprOpt,,,,,,,,exprOpt ::= relOp arithExpr ^RelExpr,exprOpt ::= relOp arithExpr ^RelExpr,exprOpt ::= relOp arithExpr ^RelExpr,exprOpt ::= relOp arithExpr ^RelExpr,exprOpt ::= relOp arithExpr ^RelExpr,exprOpt ::= relOp arithExpr ^RelExpr,,exprOpt ::= EPSILON,,,,,,,,,,exprOpt ::= EPSILON,,,,,,exprOpt ::= EPSILON,,,,,,,,,,,,,,,
factor,,,,,,factor ::= Sign factor ^Factor ^SignFactor,factor ::= Sign factor ^Factor ^SignFactor,,,,,,,,,,factor ::= id ^EP ^Id factorOpt,,,,factor ::= intlit ^IntLit,,,,factorOpt ::= ^EP indiceList ^IndiceReps ^Dot factorOptNext,factor ::= openpr arithExpr closepr ^ArithExpr,factor ::= not factor ^Factor ^NegativeFactor,factor ::= floatlit ^FloatLit,,,,,,,,,,,,,,,,,,
factorOpt,,factorOpt ::= ^EP indiceList ^IndiceReps ^Dot factorOptNext,factorOpt ::= ^EP indiceList ^IndiceReps ^Dot factorOptNext,factorOpt ::= ^EP indiceList ^IndiceReps ^Dot factorOptNext,factorOpt ::= ^EP indiceList ^IndiceReps ^Dot factorOptNext,factorOpt ::= ^EP indiceList ^IndiceReps ^Dot factorOptNext,factorOpt ::= ^EP indiceList ^IndiceReps ^Dot factorOptNext,factorOpt ::= ^EP indiceList ^IndiceReps ^Dot factorOptNext,factorOpt ::= ^EP indiceList ^IndiceReps ^Dot factorOptNext,factorOpt ::= ^EP indiceList ^IndiceReps ^Dot factorOptNext,factorOpt ::= ^EP indiceList ^IndiceReps ^Dot factorOptNext,factorOpt ::= ^EP indiceList ^IndiceReps ^Dot factorOptNext,factorOpt ::= ^EP indiceList ^IndiceReps ^Dot factorOptNext,,factorOpt ::= ^EP indiceList ^IndiceReps ^Dot factorOptNext,,,,,,,factorOpt ::= ^EP indiceList ^IndiceReps ^Dot factorOptNext,factorOpt ::= ^EP indiceList ^IndiceReps ^Dot factorOptNext,factorOpt ::= ^EP indiceList ^IndiceReps ^Dot factorOptNext,factorOpt ::= ^EP indiceList ^IndiceReps ^Dot factorOptNext,factorOpt ::= openpr ^EP aParams ^AParams ^Dot closepr factorOptNext,,,,,factorOpt ::= ^EP indiceList ^IndiceReps ^Dot factorOptNext,,,,,,,,,,,,,,,
factorOptNext,,factorOptNext ::= ^DotList EPSILON,factorOptNext ::= ^DotList EPSILON,factorOptNext ::= ^DotList EPSILON,factorOptNext ::= ^DotList EPSILON,factorOptNext ::= ^DotList EPSILON,factorOptNext ::= ^DotList EPSILON,factorOptNext ::= ^DotList EPSILON,factorOptNext ::= ^DotList EPSILON,factorOptNext ::= ^DotList EPSILON,factorOptNext ::= ^DotList EPSILON,factorOptNext ::= ^DotList EPSILON,factorOptNext ::= ^DotList EPSILON,,factorOptNext ::= ^DotList EPSILON,,,,,,,factorOptNext ::= ^DotList EPSILON,,factorOptNext ::= dot id ^Id factorOpt,factorOptNext ::= ^DotList EPSILON,,,,,,factorOptNext ::= ^DotList EPSILON,,,,,,,,,,,,,,,
fParams,,,,,,,,,,,,,,,,,fParams ::= id ^Id colon Type ^EP arraySizeOptRepFactor ^ArraySize ^FParam fParamsTailOptRepFactor,,,,,,,,fParams ::= EPSILON,,,,,,,,,,,,,,,,,,,,,
fParamsTail,,,,,,,,,,,,,,,fParamsTail ::= comma id ^Id colon Type ^EP fParamsEndRep ^ArraySize ^FParam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
funcBody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,funcBody ::= opencpr ^EP funcBodyRep ^VarDeclOrStat closecpr,,,,,,,,,,,,,,,,
funcDecl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,funcDecl ::= funcHead semi,,,,,
funcDef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,funcDef ::= funcHead funcBody,,,,,
funcHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,funcHead ::= func id ^Id openpr ^EP fParams ^FParamsList closepr arrow returnType,,,,,
implDef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,implDef ::= impl id ^Id opencpr ^EP implDefRep ^ImplFuncDefRep closecpr,,
indice,,,,,,,,,,,,,,,,,,,,,,,indice ::= openspr arithExpr closespr,,,,,,,,,,,,,,,,,,,,,,,
memberDecl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,memberDecl ::= varDecl ^VarDecl,,memberDecl ::= funcDecl ^FuncDecl,,,,,
multOp,,multOp ::= and ^And,multOp ::= div ^Div,multOp ::= mult ^Mult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structDeclOpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structDeclOpt ::= EPSILON,,,,,,,,,,,,,,,structDeclOpt ::= inherits id ^Id commaIdRep,
prog,prog ::= progRep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prog ::= progRep,,,prog ::= progRep,,prog ::= progRep
relExpr,,,,,,relExpr ::= arithExpr ^ArithExpr relOp arithExpr ^ArithExpr,relExpr ::= arithExpr ^ArithExpr relOp arithExpr ^ArithExpr,,,,,,,,,,relExpr ::= arithExpr ^ArithExpr relOp arithExpr ^ArithExpr,,,,relExpr ::= arithExpr ^ArithExpr relOp arithExpr ^ArithExpr,,,,,relExpr ::= arithExpr ^ArithExpr relOp arithExpr ^ArithExpr,relExpr ::= arithExpr ^ArithExpr relOp arithExpr ^ArithExpr,relExpr ::= arithExpr ^ArithExpr relOp arithExpr ^ArithExpr,,,,,,,,,,,,,,,,,,
relOp,,,,,,,,relOp ::= greateq ^RelOp,relOp ::= lesseq ^RelOp,relOp ::= gt ^RelOp,relOp ::= lt ^RelOp,relOp ::= neq ^RelOp,relOp ::= eq ^RelOp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indiceList,,indiceList::= EPSILON,indiceList::= EPSILON,indiceList::= EPSILON,indiceList::= EPSILON,indiceList::= EPSILON,indiceList::= EPSILON,indiceList::= EPSILON,indiceList::= EPSILON,indiceList::= EPSILON,indiceList::= EPSILON,indiceList::= EPSILON,indiceList::= EPSILON,indiceList::= EPSILON,indiceList::= EPSILON,,,,,,,indiceList::= EPSILON,indiceList::= indice indiceList,indiceList::= EPSILON,indiceList::= EPSILON,,,,,,indiceList::= EPSILON,,,,,,,,,,,,,,,
aParamsRep,,,,,,,,,,,,,,,aParamsRep ::= aParamsTail aParamsRep,,,,,,,,,,aParamsRep ::= EPSILON,,,,,,,,,,,,,,,,,,,,,
arraySizeOptRepFactor,,,,,,,,,,,,,,,arraySizeOptRepFactor ::= EPSILON,,,,,,,,arraySizeOptRepFactor ::= arraySize arraySizeOptRepFactor,,arraySizeOptRepFactor ::= EPSILON,,,,,,,,,,,,,,,,,,,,,
fParamsTailOptRepFactor,,,,,,,,,,,,,,,fParamsTailOptRepFactor ::= fParamsTail fParamsTailOptRepFactor,,,,,,,,,,fParamsTailOptRepFactor ::= EPSILON,,,,,,,,,,,,,,,,,,,,,
fParamsEndRep,,,,,,,,,,,,,,,fParamsEndRep ::= EPSILON,,,,,,,,fParamsEndRep ::= arraySize fParamsEndRep,,fParamsEndRep ::= EPSILON,,,,,,,,,,,,,,,,,,,,,
funcBodyRep,,,,,,,,,,,,,,,,,funcBodyRep ::= varDeclOrStat funcBodyRep,,,,,,,,,,,,funcBodyRep ::= EPSILON,,,funcBodyRep ::= varDeclOrStat funcBodyRep,funcBodyRep ::= varDeclOrStat funcBodyRep,funcBodyRep ::= varDeclOrStat funcBodyRep,funcBodyRep ::= varDeclOrStat funcBodyRep,,,funcBodyRep ::= varDeclOrStat funcBodyRep,funcBodyRep ::= varDeclOrStat funcBodyRep,,,,,,,
implDefRep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,implDefRep ::= EPSILON,,,,,,,,,,,,implDefRep ::= funcDef ^MemberFunc implDefRep,,,,,
commaIdRep,,,,,,,,,,,,,,,"commaIdRep ::= comma id commaIdRep	",,,,,,,,,,,,,,,commaIdRep ::= EPSILON,,,,,,,,,,,,,,,,
progRep,progRep ::= EPSILON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,progRep ::= structOrImplOrFunc progRep,,,progRep ::= structOrImplOrFunc progRep,,progRep ::= structOrImplOrFunc progRep
statementRep,,,,,,,,,,,,,,,,,statementRep ::= statement ^Statement statementRep,,,,,,,,,,,,statementRep ::=  EPSILON,,,statementRep ::= statement ^Statement statementRep,statementRep ::= statement ^Statement statementRep,statementRep ::= statement ^Statement statementRep,statementRep ::= statement ^Statement statementRep,,,statementRep ::= statement ^Statement statementRep,,,,,,,,
